page,en,zh
44,"We all know it's difficult to manage our money well, but Chen Jie has her special ways. She writes a spending plan. Every week she gets her pocket money. She also gets some money for selling waste and old things. She keeps her money in three money jars. Jar 1 is spending money. She uses half this money to buy goods like books. She also uses it to pay for services like haircuts. Jar 2 is money to share. She uses this to buy gifts, for example, birthday gifts for her family. Jar 3 is money to save. Chen Jie puts money there to save up for big things like a new bike. She really manages her money well!",我们都知道合理管理金钱很难，但陈洁有她自己的特别方法。她会制定消费计划。每周她都会得到零花钱，同时也会通过出售废旧物品获得一些钱。她把钱放在三个储钱罐里。第一个罐子是消费用的钱，她用其中一半购买书籍等物品，还用来支付理发等服务费用。第二个罐子是用于分享的钱，她用这些钱购买礼物，例如给家人的生日礼物。第三个罐子是用于储蓄的钱，陈洁把钱存在那里，为购买新自行车等大件物品积攒资金。她真的很会管理自己的金钱！
44,Can you manage your money well? Write to us!,你能合理管理自己的金钱吗？写信告诉我们吧！
44,📰 News ｜ School events,📰 新闻 ｜ 校园活动
45,🔵 Read and answer.,阅读并回答。
45,Does the author know Chen Jie?,作者认识陈洁吗？
45,How does Chen Jie manage her money? Mark the ways in the text.,陈洁是如何管理她的金钱的？在文中标出相关方法。
45,Which ways of managing money do you use?,你使用哪些管理金钱的方法？
45,🔵 Read paragraph 2 again and complete the sentences.,再读第二段，补全句子。
45,🏷️ Topic sentence（,主题句）
45,Chen Jie has ______________________________.,陈洁有______________________________。
45,🏷️ Key supporting sentences（,关键支撑句）
45,She writes ______________________________.,她制定了______________________________。
45,She gets her pocket money and also gets some money for selling waste and old things.,她得到零花钱，同时也通过出售废旧物品获得一些钱。
45,She keeps her money ______________________.,她把钱______________________________。
45,• ______________________________________,
45,• ______________________________________,
45,• ______________________________________,
45,🏷️ Closing sentence（,结尾句）
45,🔵 How are you going to manage your money? Write your ideas below.,你打算如何管理你的金钱？把你的想法写在下面。
45,It is important to save and spend money well. Here are my tips.,合理储蓄和消费非常重要。以下是我的建议。
45,,-----------
45,,参考答案：
45,🔵 Read and answer（,阅读并回答）
45,"1. Does the author know Chen Jie? Yes, she does. Chen Jie is the author's good friend.",
45,2. How does Chen Jie manage her money?,
45,She writes a spending plan.,
45,She keeps her money in three money jars (spending / sharing / saving).,
45,She uses Jar 1 to buy goods and pay for services.,
45,She uses Jar 2 to buy gifts for family.,
45,She uses Jar 3 to save up for big things.,
45,3. Which ways of managing money do you use? (,开放性答案，示例) I write a spending plan and save some money every week.
45,🔵 Complete the sentences（,补全句子）
45,Topic sentence: Chen Jie has her special ways to manage money.,
45,Key supporting sentences:,
45,She writes a spending plan.,
45,She gets her pocket money and also gets some money for selling waste and old things.,
45,She keeps her money in three money jars.Jar 1 is spending money.Jar 2 is money to share.Jar 3 is money to save.,
45,Closing sentence: She really manages her money well!,
45,🔵 How are you going to manage your money?（,开放性写作示例）
45,It is important to save and spend money well. Here are my tips.,
45,"First, I am going to write a spending plan every week. Second, I will put my money into two jars — one for spending and one for saving. Finally, I will only buy things I really need.",
46,🅲️ Project: Make a spending plan for the next month,🅲️ 项目：为下个月制定一个消费计划
46,1️⃣ Oliver and Binbin are making a spending plan. Listen and fill in the table. 🎧,1️⃣ 奥利弗和彬彬正在制定消费计划。听录音并填写表格。🎧
46,🛒 Total: ¥200,🛒 总计：200元
46,💰 Save: ¥50,💰 储蓄：50元
46,🛍️ Spend: ¥150,🛍️ 消费：150元
46,📖 dictionary ¥50 ✔️ Need,📖 词典 50元 ✔️ 需要
46,__________ ¥50 ✔️ Need,__________ 50元 ✔️ 需要
46,🏀 basketball ¥100 ✔️ Want __________ and __________,🏀 篮球 100元 ✔️ 想要 __________ 和 __________
46,__________ ¥20 ✔️ Need Mike's birthday,__________ 20 元 ✔️ 需要 迈克（Mike）的生日
46,✂️ haircut ¥30 ✔️ Need,✂️ 理发 30元 ✔️ 需要
46,2️⃣ Do you have a spending plan? Complete the chart and compare.,2️⃣ 你有消费计划吗？完成图表并进行比较。
46,📌 My plan（,我的计划）
46,📌 I need（我需要）→ Goods（商品）→ __________,📌 我需要 → 商品 → __________
46,📌 I need（我需要）→ Services（服务）→ __________,📌 我需要 → 服务 → __________
46,📌 I want（我想要）→ Goods（商品）→ __________,📌 我想要 → 商品 → __________
46,📌 I want（我想要）→ Services（服务）→ __________,📌 我想要 → 服务 → __________
46,👦 I have 152 yuan. I put 52 yuan into my piggy bank. Now I still have 100 yuan.,👦 我有152元。我把52元放入了存钱罐。现在我还剩100元。
46,👩 How are you going to spend it in the next month?,👩 你打算在下个月怎么花这些钱？
46,👦 I'm going to buy ... I also need some ...,👦 我打算买……我还需要一些……
46,,📋 参考答案 Reference Answers
46,❓ What is Sarah writing?,
46,✅ Sarah is writing a spending plan.,✅ 莎拉正在写一份消费计划。
46,❓ What is Sarah going to buy?,
46,✅ She is going to buy a pair of sunglasses for Grandpa（给爷爷买一副太阳眼镜） and a book about space（一本关于太空的书）. She also wants to buy a microscope（一台显微镜） later.,✅ 她打算给爷爷买一副太阳眼镜，还要买一本关于太空的书。她还想以后买一台显微镜。
46,🎧 Listen and fill in the table,听力填空参考答案：
46,Item（物品）：__________ → ✅ pencil case（铅笔盒）,物品：铅笔盒
46,basketball（篮球）Note（备注）：✅ good for health and fun（有益健康又有趣）,篮球 备注：有益健康又有趣
46,Item（物品）：__________ ¥20 → ✅ card（贺卡）,物品：贺卡 20元
46,💡 Discuss and write some tips,金钱管理小贴士参考答案：
46,Save some money every month.,每个月存一些钱。
46,Think carefully before you buy.,购买前仔细考虑。
47,3️⃣ Write your spending plan.,3️⃣ 写出你的消费计划。
47,📋 My spending plan for the next month,📋 我下个月的消费计划
47,Item（物品）Price（价格）Need（需要）Want（想要）Note（备注）,物品 价格 需要 想要 备注
47,4️⃣ Share and discuss your plan in class.,4️⃣ 在课堂上分享并讨论你的计划。
47,👧 This is my spending plan for the next month. I'm going to ...,👧 这是我下个月的消费计划。我打算……
47,👦 I like your plan.,👦 我喜欢你的计划。
47,👧 Your plan is nice. But maybe you can ...,👧 你的计划很棒。但也许你可以……
47,📝 Self-assessment,📝 自我评价
47,I can tell what I need to buy from what I want to buy.,我能区分我需要买的和我想要买的东西。
47,I can make a spending plan and decide what to buy.,我能制定消费计划并决定买什么。
47,I can list what people often do with money.,我能列出人们通常用钱做的事情。
47,I can write tips about saving and spending money wisely.,我能写出关于合理储蓄和消费的小贴士。
48,📖 Reading time,📖 阅读时间
48,"1️⃣ A long time ago, people exchanged goods or services. Sometimes it was difficult to get the things they wanted.",1️⃣ 很久以前，人们通过交换商品或服务来进行贸易。有时候很难得到他们想要的东西。
48,"2️⃣ Later, people used different forms of money. But what did the money look like? Look! There is shell money, knife money, copper coins, ...",2️⃣ 后来，人们使用了不同形式的货币。但是这些货币长什么样呢？看！有贝壳货币、刀币、铜钱……
48,3️⃣ metal coins 金属货币 50 kilos of coins = a roll of silk,3️⃣ 金属货币 50公斤的金属货币 = 一匹丝绸
48,But metal coins were heavy to carry. So people used paper money.,但是金属货币携带起来很重。所以人们开始使用纸币。
48,4️⃣ We still use paper money today. We also have bankbooks and cards.,4️⃣ 我们今天仍然在使用纸币。我们还有存折和银行卡。
49,⑤How are you going to pay for your haircuts?,你打算怎么支付理发费用？
49,I'm going to pay in cash.,我打算用现金支付。
49,I'm going to use my mobile phone.,我打算用手机支付。
49,Now we can use our mobile phones to pay. It is so quick and easy!,现在我们可以用手机来支付了。这真是既快捷又方便！
49,⑥How will we buy things in future? What are your ideas?,未来我们将如何购物？你有什么想法？
49,You can write them down or draw them here.,你可以把它们写下来或画在这里。
49,,✅ 说明：
49,,图⑤场景：理发店内，顾客与收银员讨论付款方式，涉及现金支付与手机支付两种方式
49,,图⑥场景：未来购物场景，供学生发挥想象，写下或画出未来的购物方式
