page,en,zh
66,Do Binbin and Mike think it's too late to change? Why?,彬彬和迈克认为改变已经太迟了吗？为什么？
66,Mrs Green: We use energy every day. But many resources are running out. What should we do?,格林老师：我们每天都在使用能源。但许多资源正在耗尽。我们应该怎么做？
66,Mike: We should save energy. Then we will use fewer resources.,迈克：我们应该节约能源。这样我们就会使用更少的资源。
66,Mrs Green: How can we save energy?,格林老师：我们怎样才能节约能源？
66,Binbin: We should change our energy use.,彬彬：我们应该改变我们的能源使用方式。
66,"Mrs Green: Can you give us an example, Binbin?",格林老师：彬彬，你能举个例子吗？
66,Binbin: Sure. We can take quick showers. That will save energy and water.,彬彬：当然。我们可以快速淋浴。这样可以节约能源和水。
66,Mike: I agree. We can also use LED lighting.,迈克：我同意。我们还可以使用节能灯。
66,Binbin: And we should always unplug our computers and TVs.,彬彬：我们还应该在不用时拔掉电脑和电视的插头。
66,Mrs Green: Great! Small changes can make a big difference.,格林老师：太好了！小小的改变可以带来巨大的不同。
66,Why do we have to save energy?,我们为什么必须节约能源？
66,What did Binbin and Mike suggest?,彬彬和迈克提出了什么建议？
66,🟠 Write and discuss,🟠 写一写，讨论一讨论
66,How do you save energy?,你是如何节约能源的？
66,At home,
66,At school,
66,Other places,
66,_______________,
66,_______________,
66,_______________,
66,How can we save energy?,我们如何节约能源？
66,We can use LED lighting. We can also ...,我们可以使用节能灯。我们还可以……
66,School is over. We should turn off the lights.,放学了。我们应该关灯。
66,We can go by bus or walk to ...,我们可以乘公共汽车或步行去……
66,,✅ 参考答案示例
66,1. What makes some rivers and lakes dry up? Using too many resources and wasting water and energy make some rivers and lakes dry up.,
66,"2. Do Binbin and Mike think it's too late to change? Why? No, they don't. They think small changes can make a big difference.",
66,Why do we have to save energy? We have to save energy because many resources are running out.,
66,"What did Binbin and Mike suggest? They suggested taking quick showers, using LED lighting and unplugging computers and TVs.",
66,Write and discuss（,示例）：
66,At home,
66,At school,
66,Other places,
66,Turn off lights when leaving a room. Unplug computers and TVs.,
66,Turn off the lights after class. Use both sides of paper.,
66,Go by bus or walk instead of going by car.,
67,🟠 Let's learn,🟠 学一学
67,"Follow the ""3R"" rules to save energy and resources — every little thing helps!","遵循""3R""原则来节约能源和资源——每一件小事都有帮助！"
67,Reduce,
67,Reuse,
67,Recycle,
67,Use air conditioners less.,
67,Bring our own bags to shops and markets.,
67,Recycle bottles and boxes.,
67,Walk more and drive less.,
67,"Recycle old clothes, toys and books.",
67,Take quick showers.,减少使用
67,,重复利用
67,,回收再利用
67,,少用空调。
67,,自带购物袋去商店和市场。
67,,回收瓶子和盒子。
67,,多步行，少开车。
67,,回收旧衣物、玩具和书籍。
67,,快速淋浴。
67,"Let's follow the ""3R"" rules. We should use air conditioners less. We should ...","让我们遵循""3R""原则。我们应该少用空调。我们应该……"
67,"🟠 Look, write and speak",🟠 看一看，写一写，说一说
67,What does this chart tell you?,这张图表告诉你什么？
67,REDUCE + REUSE + RECYCLE = FOR A HAPPY EARTH,减少使用 + 重复利用 + 回收再利用 = 地球更美好
67,"To follow the ""3R"" rules, we should _______________, _______________ and _______________.","为了遵循""3R""原则，我们应该_______________、和。"
67,"We should reduce energy use. We can take _______________, and use _______________ less. And we can reuse _______________, or recycle old toys, _______________.",我们应该减少能源使用。我们可以_______________，少用_______________。我们还可以重复利用_______________，或者回收旧玩具和_______________。
67,This will save more energy and resources.,这将节约更多的能源和资源。
67,,✅ 参考答案示例
67,"To follow the ""3R"" rules, we should ... To follow the ""3R"" rules, we should reduce, reuse and recycle.","完整填空示例： We should reduce energy use. We can take quick showers, and use air conditioners less. And we can reuse our own bags, or recycle old toys, clothes and books."
67,This will save more energy and resources.,
68,🟠 Read and write 🎧,🟠 读一读，写一写 🎧
68,What energy do you often use every day? Do people waste energy? How?,你每天经常使用哪种能源？人们会浪费能源吗？怎么浪费的？
68,"Save energy, save our Earth!",节约能源，拯救地球！
68,Mother Earth is running out of resources! What should we do? Here are our top three ideas. We should all try to save energy and save our Earth!,地球母亲的资源正在耗尽！我们该怎么办？以下是我们最重要的三个建议。我们都应该努力节约能源，拯救我们的地球！
68,Idea 1,建议一
68,Useful tips to save water:,节约用水的实用建议：
68,Take a quick shower.,快速淋浴。
68,"Wash all your dirty clothes together, not one at a time.",把所有脏衣服一起洗，而不是一件一件地洗。
68,"Wash fruit and vegetables, then use the water again.",洗完水果和蔬菜后，把水再次利用。
68,Think: How does a quick shower save energy?,思考：快速淋浴如何节约能源？
68,Idea 2,建议二
68,Useful tips to use less electricity:,节约用电的实用建议：
68,Use LED lighting.,使用节能灯。
68,Turn off your TV or computer and unplug it.,关闭电视或电脑并拔掉插头。
68,Set your air conditioner to 26°C or more in summer.,夏天将空调温度设定在26摄氏度或以上。
68,Think: How can you use air conditioners less?,思考：你如何减少空调的使用？
68,Idea 3,建议三
68,Great tips to save and recycle resources:,节约和回收资源的好建议：
68,Use both sides of paper.,两面都使用纸张。
68,Use old bottles again. You can put noodles or pencils in them.,再次使用旧瓶子。你可以用它们来装面条或铅笔。
68,"Think: What are your ideas for following the ""3R"" rules?","思考：你有什么遵循""3R""原则的好想法？"
69,🟠 Choose the best title for each idea.,🟠 为每个建议选择最佳标题。
69,Idea 1 ( )　　　A. Do small things to save water.,
69,"Idea 2 ( )　　　B. Reduce, reuse and recycle.",
69,Idea 3 ( )　　　C. Save electricity.,建议一（ ）　　　A. 做小事来节约用水。
69,,建议二（ ）　　　B. 减少、重复利用和回收。
69,,建议三（ ）　　　C. 节约用电。
69,🟠 Answer the questions at the end of each idea. Then share with the class.,🟠 回答每个建议末尾的问题，然后与全班分享。
69,🟠 Read the letter. Send your ideas to the magazine.,🟠 读这封信，把你的想法投稿给杂志。
69,"Dear readers,",亲爱的读者们，
69,How can we all help Mother Earth? We are running a competition to find some helpful ideas from our readers. Please write to us and let us know your ideas and tips. Thank you.,我们如何帮助地球母亲？我们正在举办一场征文活动，向读者征集有益的想法。请给我们写信，告诉我们你的想法和建议。谢谢。
69,"Sincerely,",谨上，
69,Editor,编辑
69,"Dear Editor,",亲爱的编辑：
69,We are running out of resources. But it is not too late. We can do things to change this. Here are my ideas.,我们的资源正在耗尽。但现在还不算太晚。我们可以采取行动来改变这一现状。以下是我的想法。
69,Tips to save energy and resources:,节约能源和资源的建议：
69,"Sincerely,",谨上，
69,,✅ 参考答案示例
69,Choose the best title for each idea:,
69,Idea 1 ( A ) — Do small things to save water.,
69,Idea 2 ( C ) — Save electricity.,
69,"Idea 3 ( B ) — Reduce, reuse and recycle.",
69,"Think: How does a quick shower save energy? A quick shower uses less hot water. Heating water needs energy, so using less water saves more energy.",
69,Think: How can you use air conditioners less? We can open windows to let in fresh air. We can also use fans instead of air conditioners.,
69,"Think: What are your ideas for following the ""3R"" rules? We can reuse old bottles as pencil holders. We can recycle old newspapers and books. We can bring our own bags when we go shopping.",回信示例：
69,"Dear Editor,",
69,We are running out of resources. But it is not too late. We can do things to change this. Here are my ideas.,
69,Tips to save energy and resources:,
69,Take quick showers and wash clothes together to save water.,
69,Use LED lighting and unplug computers and TVs to save electricity.,
69,"Use both sides of paper and recycle old bottles, clothes and books.",
69,"Sincerely,",
69,Li Ming,
70,C Project: Give a presentation about green energy,项目：做一个关于绿色能源的演讲
70,1 What does green energy mean to you? Listen and circle what you hear. 🎧,绿色能源对你意味着什么？听录音，圈出你听到的内容。🎧
70,Green energy,绿色能源
70,2 Search for information about green energy and complete the outline.,搜索关于绿色能源的信息，并完成提纲。
70,Green Energy,绿色能源
70,Green energy,绿色能源
70,What green energy do you know?,你知道哪些绿色能源？
70,How do we use it?,我们如何使用它？
70,We use green energy to _______________________________________________.,我们利用绿色能源来_______________________________________________。
70,We also use it to _______________________________________________.,我们还用它来_______________________________________________。
70,Saving energy,节约能源
70,Many resources will run out. How can we save energy?,许多资源将会耗尽。我们如何节约能源？
70,"We follow the ""3R"" rules. We should _______________________________________________.","我们遵循""3R""原则。我们应该_______________________________________________。"
70,,✅ 参考答案示例
70,"What green energy do you know? I know wind power, solar power and water power. They are types of green energy.",
70,"We use green energy to ... We use green energy to make electricity and light our homes. We also use it to run cars, buses and trains.",
70,"We follow the ""3R"" rules. We should ... We follow the ""3R"" rules. We should reduce, reuse and recycle. For example, we should take quick showers, bring our own bags, and recycle old bottles and clothes.",
70,第3点示例： 3. Green energy is good for the Earth. It is clean and does not pollute the air.,绿色能源对地球有益。它清洁环保，不会污染空气。
71,3 Make your slides.,制作你的幻灯片。
71,Write an interesting opening. (Pictures or questions can help.),写一个有趣的开头。（图片或问题都可以帮助你。）
71,"At home, what things use energy?",在家里，哪些事物需要使用能源？
71,Where does their energy come from?,它们的能源从哪里来？
71,Write your main body. (Pictures and graphs give good supporting details.),写主体部分。（图片和图表能提供很好的支撑细节。）
71,What green energy do you know?,你知道哪些绿色能源？
71,Many resources will run out. How do we save energy?,许多资源将会耗尽。我们如何节约能源？
71,"Write a good ending. (For example, a famous saying or call to action.)",写一个好的结尾。（例如，引用名言或发出行动号召。）
71,4 Give a presentation.,做演讲。
71,What things use energy at home? We can ...,家里哪些事物需要使用能源？我们可以……
71,Self-assessment,自我评价
71,I can tell others about power from water.,我能告诉别人关于水能的知识。
71,I can describe types of green energy and its uses.,我能描述各种类型的绿色能源及其用途。
71,"I can follow the ""3R"" rules and give examples of energy saving.","我能遵循""3R""原则并举例说明节约能源的方法。"
71,I can write a letter to share ideas about saving energy.,我能写一封信来分享节约能源的想法。
71,,✅ 参考答案示例
71,"演讲开头示例： At home, many things use energy. Lights, computers, air conditioners and televisions all need electricity. Where does their energy come from? It can come from wind, sunlight and water!",在家里，许多事物需要使用能源。灯、电脑、空调和电视都需要用电。它们的能源从哪里来？能源可以来自风、阳光和水！
71,"演讲结尾示例： Let us all follow the ""3R"" rules — reduce, reuse and recycle. Every small step helps save our Earth!","让我们都遵循""3R""原则——减少使用、重复利用和回收再利用。每一小步都有助于拯救我们的地球！"
72,Reading time,阅读时间
72,1,
72,"It was a sunny day. Grandpa, Binbin and Robin played outside.",那是一个晴天。爷爷、彬彬和罗宾在外面玩耍。
72,2,
72,"They didn't want to go back to the kitchen to cook lunch. So, what could they do?",他们不想回厨房做午饭。那么，他们能做什么呢？
72,3,
72,Grandpa had an idea.,爷爷有了一个主意。
72,"""The sun is very hot. We can use solar power to cook our lunch here,"" he said.","""太阳非常热。我们可以在这里用太阳能来烹饪我们的午饭，""他说。"
72,"""Let's make a solar oven!""","""我们来做一个太阳能烤箱吧！"""
72,"So, they did.",于是，他们就这么做了。
73,4,
73,"""Wow! How does the box keep the heat? Why do we use black paper?"" Binbin wanted to know.","""哇！这个盒子是怎么保持热量的？我们为什么要用黑色的纸？""彬彬想知道答案。"
73,5,
73,Soon their meal was ready.,不久，他们的饭菜就做好了。
73,"""The food is delicious! And we cooked with no gas or electricity! That's super cool!"" said Binbin.","""食物真好吃！而且我们没有用煤气或电就做好了！太酷了！""彬彬说。"
73,"""Sunlight is a great source of energy. It can help light our house. It can run cars. And we can use it to cook too!"" said Robin.","""阳光是一种很好的能源。它可以为我们的房屋提供照明，可以驱动汽车，我们还可以用它来做饭！""罗宾说。"
73,"""Yes, we should use energy in smart ways,"" said Grandpa with a smile.","""是的，我们应该聪明地使用能源，""爷爷微笑着说。"
73,,✅ 参考答案示例
73,How does the box keep the heat? The box keeps the heat by trapping sunlight inside. The black paper absorbs more heat from the sun.,
73,Why do we use black paper? We use black paper because black absorbs more sunlight and heat than other colors.,
73,"What did Binbin and Robin learn from this experience? They learned that sunlight is a great source of energy. We can use solar power to cook food, light our homes and run cars. We should use energy in smart ways.",彬彬和罗宾从这次经历中学到了什么？ 他们了解到阳光是一种很好的能源。我们可以利用太阳能来做饭、为房屋提供照明以及驱动汽车。我们应该聪明地使用能源。
74,Revision: Learning in museums,复习：在博物馆中学习
74,Read aloud and act it out.,朗读并表演。🎧
74,"Miss White: What do you want to learn about, children?",怀特老师：孩子们，你们想了解什么？
74,Binbin: I want to know about space and planets.,彬彬：我想了解太空和行星。
74,Chen Jie: My sister was ill for some time. It made me sad. I want to learn more about illness.,陈洁：我妹妹病了一段时间，这让我很难过。我想更多地了解疾病。
74,Mike: I want to know more about the Chinese festivals.,迈克：我想更多地了解中国节日。
74,Miss White: Those are great ideas! What can help you learn about these things?,怀特老师：这些都是很好的想法！什么可以帮助你们了解这些事情呢？
74,Chen Jie: We can read books or use the internet.,陈洁：我们可以读书或使用互联网。
74,Mike: I want to travel to different places.,迈克：我想去不同的地方旅行。
74,"Miss White: That's right. We can also learn in museums. This week, we're going to plan some museum trips.",怀特老师：说得对。我们也可以在博物馆里学习。这周，我们要计划一些博物馆之旅。
74,Students: Great!,学生们：太棒了！
74,Miss White: Which museums do you want to visit? How much money do you need? Think about these questions and make a plan.,怀特老师：你们想参观哪些博物馆？你们需要多少钱？思考这些问题并制定计划。
74,💬 What do you want to learn more about?,你想更多地了解什么？
74,Choose and discuss.,选一选，讨论。
74,Zhang Peng: Do you have a plan for your museum trip?,张鹏：你有博物馆旅行计划吗？
74,"Sarah: Yes, I'm going to visit some museums online. ______",莎拉：是的，我打算在线参观一些博物馆。______
74,Zhang Peng: That's a good idea!,张鹏：这是个好主意！
74,Sarah: ______,莎拉：______
74,Zhang Peng: I'm going to visit the Great Wall Museum.,张鹏：我打算去参观长城博物馆。
74,Sarah: Wow! But it's very far. ______,莎拉：哇！但那非常远。______
74,"Zhang Peng: I have 100 yuan. The museum is free. But I need to take a bus and I'm going to buy some food and drink. Before that, ______ I want to look good in my photos.",张鹏：我有100元。博物馆是免费的，但我需要坐公共汽车，还要买一些食物和饮料。在此之前，______我想在照片里看起来好看一些。
74,Sarah: Ha! Ha! I want to see your photos.,莎拉：哈！哈！我想看你的照片。
74,,"选项：A. I'm saving up for a new bike now. 我现在正在攒钱买新自行车。 B. I can watch videos and even buy nice gifts online. 我可以在线观看视频，甚至购买精美礼物。 C. How much are you going to take? 你打算带多少钱？ D. I need a haircut. 我需要理发。 E. Where are you going, Zhang Peng? 张鹏，你要去哪里？"
74,💬 How do you prefer to visit museums? Why?,你更喜欢如何参观博物馆？为什么？
75,Look and answer.,看图回答。
75,,图片展示了四个场景：太空科技展览、绿色能源展区、AI医生问诊界面（How do you feel? I have a bad cough. My head hurts too. Try an AI doctor!）以及机器人展览区。
75,"What do you see in the pictures? Is/Are there ...? Do you like the section on space, green energy, AI or robots? Why?",图片里你看到了什么？有……吗？你喜欢太空、绿色能源、人工智能还是机器人展区？为什么？
75,Think and role-play.,思考并角色扮演。
75,You are a school newspaper reporter. Ask Binbin and John some questions.,你是一名校报记者，向彬彬和约翰提问。
75,Reporter: What did you see in the museum?,记者：你们在博物馆里看到了什么？
75,Binbin: I saw a big spaceship. I also went into a mini space station. I ...,彬彬：我看到了一艘大宇宙飞船，还进入了一个迷你太空站。我……
75,Reporter: Did you see other interesting things there?,记者：你们在那里还看到了其他有趣的东西吗？
75,Binbin: Yes. A robot dressed in a Tang suit. She pasted fu on the door. Another robot ....,"彬彬：是的。一个穿着唐装的机器人，她在门上贴了""福""字。还有另一个机器人……"
75,Reporter: What did you like about the museum?,记者：你们最喜欢博物馆的哪个部分？
75,John: We watched a short play about Chang'e and Houyi. Then we saw an amazing robot. He gave us a speech.,约翰：我们观看了一出关于嫦娥和后羿的短剧，然后我们看到了一个令人惊叹的机器人，他给我们发表了演讲。
76,📖 Read and give an ending to the play. 📖,阅读并给这个剧本写一个结尾。
76,,"🎬① 🎬① 🧑‍🦳 旁白：那是中秋节。在月亮上，玉兔跑啊跳啊。然后她看到了天空中一艘巨大的飞船！ Narrator: It was the Mid-Autumn Festival. On the Moon, the Rabbit ran and jumped. Then he saw a big spaceship in the sky!"
76,,"🎬② 🎬② 🐰 后羿：你好，兔子！ Houyi: Hello, Rabbit! 🐇 玉兔：嗨，后羿！欢迎你！ Rabbit: Hi, Houyi! Welcome! 🐰 后羿：谢谢你。嫦娥怎么样了？ Houyi: Thank you. How is Chang'e? 🐇 玉兔：嫦娥总是很悲伤，但她现在会好起来的。看，她来了。能有家人相伴真是太好了！ Rabbit: Chang'e is always sad, but she will be happy now. Look, here she comes. It's so good to have family around again!"
76,,🎬③ 🎬③ 🌙 嫦娥：你是怎么来到月亮上的？ Chang'e: How did you get to the Moon? 🐰 后羿：一艘飞船把我带到了这里。我们在中国有很棒的飞船。 Houyi: A spaceship brought me here. We have great spaceships in China. 🌙 嫦娥：哇！ Chang'e: Wow!
76,,"🎬④ 🎬④ 🐰 后羿：嫦娥，你来这里已经很久了。你在月亮上做了什么？ Houyi: Chang'e, you came here so long ago. What did you do on the Moon? 🌙 嫦娥：玉兔和我读书、唱民歌。但我总是想念我们在一起的日子。你在地球上做了什么？ Chang'e: Rabbit and I read books and sang folk songs. But I always thought of our days together. What did you do on Earth?"
76,……,
76,🎧 Listen and fill in the blanks. Then retell your favourite part. 🤖 🎧,听录音，填写空白处。然后复述你最喜欢的部分。🤖
76,Good afternoon!,下午好！
76,"We live on ______ . We are far from our neighbours, like the ______ and the ______ . But with science and technology, we can find out more about them.",我们生活在______。我们离邻居很远，比如______和______。但是借助科学和技术，我们可以更多地了解它们。
76,"Smartphones and the internet bring us closer to each other. We can ______ our feelings with friends far away. Even in space, ______ can call their families.",智能手机和互联网让我们彼此更亲近。我们可以与远方的朋友______我们的感受。即使在太空中，______也可以与家人通话。
76,"Green energy like ______ , wind or water power is also part of our life. We use technologies to ______ energy use, ______ our waste and ______ resources.",像______这样的绿色能源、风能或水能也是我们生活的一部分。我们用技术来______能源消耗，______我们的废物，______资源。
76,Science and technology make our lives better.,科学和技术让我们的生活更美好。
76,Thank you!,谢谢！
77,📖 Read and take notes. 📖,阅读并做笔记。
77,🏫 Welcome! 🏫,欢迎！
77,Did you enjoy listening to the bird song? Did you feel the cool wind from the sea? Is your stress gone?,你喜欢听鸟鸣声吗？你感受到了来自大海的凉风吗？你的压力消除了吗？
77,"Stress is sometimes bad for us. Science can help, but we also need to help ourselves. What can we do? Well, we should take care of our body. We need to have a healthy diet and exercise too. Remember, get enough sleep and don't stay up late.",压力有时对我们有害。科学可以帮助我们，但我们也需要自助。我们能做什么呢？好吧，我们应该照顾好自己的身体。我们需要健康饮食，也需要锻炼。记住，要保证充足的睡眠，不要熬夜。
77,"We must also take care of our mind. Think about happy things. You can keep a diary, join some clubs, listen to music or read books. Spend time with your friends and family. Give them a big smile. Go out and have some fun!",我们还必须照顾好自己的心理。想想快乐的事情。你可以写日记、参加一些俱乐部、听音乐或读书。花时间陪伴你的朋友和家人。给他们一个大大的微笑。出去玩，开开心！
77,I hope this area can help you!,我希望这个区域能帮助到你！
77,📝 Tips for taking notes 📝,记笔记小贴士
77,⭐ Use marks for key words ⭐,用符号标记关键词 ※ 🔷 🔶 ※ 🔷 🔶 ❓ Ask questions ❓ 提问 📊 Draw graphs 📊 画图表
77,✉️ Write a letter to your future self. ✉️,给未来的自己写一封信。
77,"Dear future me,",亲爱的未来的我，
77,The year is ______. I am ______ years old.,现在是______年。我______岁了。
77,How are you? What are you doing?,你好吗？你在做什么？
77,"Love,",爱你的，
77,My favourite food/sport is … I often … with my friends. Sometimes I feel …,我最喜欢的食物/运动是……我经常和朋友们……有时我感到……
77,"For the next ten years, I really want to … I'm going to … I will be …",在接下来的十年里，我真的很想……我打算……我将会……
78,🎵 Appendix 1,附录一 🎵 歌　曲
78,🎵 Unit 1,第一单元 🎵 Travelling around 环游旅行
78,"I visited Beijing,","我去了北京， And I learnt about the place. 我了解了这个地方。 I went to Tian'anmen Square, 我去了天安门广场， And to the Great Wall the next day. 第二天去了长城。"
78,"I visited Beijing,","我去了北京， And I learnt about its history. 我了解了它的历史。 I took so many pictures, 我拍了很多照片， And ate new snacks on the street. 在街上吃了新的小吃。"
78,"I went to Xi'an next,","接着我去了西安， And I saw the old city wall. 我看到了古老的城墙。 I ate some really tasty noodles, 我吃了一些非常美味的面条， And sang a local song. 还唱了一首当地的歌。"
78,"On my trip to Xi'an,",在我的西安之旅中， I saw the famous sights. 我看到了著名的景点。 And climbed up Huashan Mountain. 还爬上了华山。 The views were very nice. 景色非常美丽。
78,🎵 Unit 2,第二单元 🎵 Getting together 相聚在一起
78,"My family and I, we have a great time.",我和我的家人度过了美好的时光。 We get together at special events. 我们在特殊的节日里相聚。
78,Events are fun. I love every one.,"活动很有趣。我喜欢每一个。 Yeah, yeah, yeah! Yeah, yeah, yeah! 耶，耶，耶！耶，耶，耶！"
78,"My parents and I, we had a sports day.","我和我的父母参加了运动会。 There were many fun activities to do. 有很多有趣的活动可以参加。 My brother clapped. 我的哥哥鼓掌喝彩。 Go, go, go! Go, go, go! 加油，加油，加油！加油，加油，加油！"
78,"My mother and I, we cleaned up at New Year.","我和我的妈妈在新年打扫卫生。 And pasted fu on our door. 还在我们的门上贴了""福""字。 We dressed in red. All were fed. 我们穿上红色衣服。大家都吃饱了。 Yum, yum, yum! Yum, yum, yum! 真好吃，真好吃，真好吃！"
78,"My brother and I, we sang some songs,","我和我的兄弟唱了一些歌， And spoke with all of our relatives. 和所有的亲戚交谈。 We counted down, such a big sound. 我们倒计时，声音好响亮。 3, 2, 1! Fun, fun, fun! 3，2，1！真开心，真开心，真开心！"
78,🎵 Unit 3,第三单元 🎵 How can we stay healthy? 我们怎样保持健康？
78,How can we stay healthy?,我们怎样保持健康？ The boy has a runny nose. 这个男孩在流鼻涕。 He should see a doctor. 他应该去看医生。 Maybe he knows. 也许他知道。
79,How can we stay healthy?,我们怎样保持健康？ The girl has a little cough. 这个女孩有点咳嗽。 She should get enough sleep. 她应该保证充足的睡眠。 Let's switch all the lights off. 让我们把所有的灯都关掉。
79,How can we stay healthy?,我们怎样保持健康？ We shouldn't feel so sad. 我们不应该感到太悲伤。 We should talk about our feelings. 我们应该谈谈我们的感受。 Sharing isn't bad. 分享不是坏事。
79,How can we stay healthy?,我们怎样保持健康？ Don't feel lonely or alone. 不要感到孤独或孤单。 Join after-school teams and clubs. 参加课外团队和俱乐部。 Have fun at school and at home. 在学校和家里都要快乐。
79,🎵 Unit 4,第四单元 🎵 Did they use money well? 他们花钱花得好吗？
79,Simon bought a new computer.,西蒙买了一台新电脑。 He bought a new computer. 他买了一台新电脑。 It was an expensive computer. 那是一台昂贵的电脑。 Did he use his money well? 他花钱花得好吗？
79,Mary bought two schoolbags.,玛丽买了两个书包。 She bought two schoolbags. 她买了两个书包。 Now Mary has three schoolbags. 现在玛丽有三个书包了。 Did she use her money well? 她花钱花得好吗？
79,Anna's got a bank account.,安娜有一个银行账户。 She's got a bank account. 她有一个银行账户。 The bank gives Anna money. 银行给安娜钱。 Did she use her money well? 她花钱花得好吗？
79,David bought a red bike.,大卫买了一辆红色的自行车。 He bought a red bike. 他买了一辆红色的自行车。 David can't ride a bike. 大卫不会骑自行车。 Did he use his money well? 他花钱花得好吗？
79,🎵 Unit 5,第五单元 🎵 In space 在太空中
79,We live on Earth.,我们生活在地球上。 It's a planet in space. 它是太空中的一颗行星。 We go round the Sun. 我们绕着太阳转。 We have our place. 我们有自己的位置。
79,"Space is so big,","太空如此广阔， But you can see, 但你可以看到， So many stars, so very far, 如此多的星星，如此遥远， Through a telescope with me. 和我一起用望远镜观看。"
