page,en,zh
5,What is a healthy lifestyle?,什么是健康的生活方式？ (p. 26)
5,Part A — How do we know if we are ill?,我们如何知道自己生病了？ | Listening & speaking: Talking about illness and making suggestions 谈论疾病与提出建议 | Vocabulary: Illness 疾病词汇
5,Part B — How can we stay healthy?,我们如何保持健康？ | Listening & speaking: Giving opinions about how to stay healthy 表达保持健康的看法 | Vocabulary: Healthy lifestyles 健康生活方式词汇 | Reading & writing: Reading a story about a good friend moving away 阅读一篇关于好朋友搬家的故事 · Writing suggestions for your friends 为朋友写建议
5,Part C (optional) — Project: Make a healthy lifestyle pamphlet,制作健康生活方式宣传册 | Extended reading: We're helping hands! 我们是助人之手！
5,Grammar — Simple present,一般现在时：How do you feel? I feel ill. My head hurts and I have a runny nose. | Simple future 一般将来时：My mum is going to take me to hospital this afternoon. | Modals 情态动词：Maybe you should see a doctor.
6,B What makes a trip special?,B 是什么让旅行变得特别？
6,🔴 Let's talk,🔴 让我们来谈一谈
6,Binbin and Sarah meet Amy at school. Listen and write T (True) or F (False). 🎧,彬彬和莎拉在学校遇到了艾米。听录音，写T（正确）或F（错误）。🎧
6,Amy went to Hainan. ( ),艾米去了海南。（ ）
6,The weather was good in Guiyang. ( ),贵阳的天气很好。（ ）
6,"Amy: Where did you go over the summer holidays, Binbin?",艾米：彬彬，你暑假去哪里了？
6,Binbin: I went to Xi'an with my family.,彬彬：我和家人去了西安。
6,Sarah: I like Xi'an very much. What did you do there?,莎拉：我非常喜欢西安。你们在那里做了什么？
6,Binbin: We ate some famous Xi'an noodles. Then we went to see the Terracotta Warriors.,彬彬：我们吃了一些著名的西安面条，然后去参观了兵马俑。
6,Sarah: Wow! I really want to go there! How was it?,莎拉：哇！我真的很想去那里！那里怎么样？
6,Binbin: Amazing! There are over seven thousand clay warriors and one hundred horses.,彬彬：太令人惊叹了！那里有七千多个陶制武士和一百匹马。
6,Amy: I saw pictures on the internet. What else did you do?,艾米：我在网上看过图片。你们还做了什么？
6,"Binbin: Well, we walked around the old city and rode bikes on the old city wall.",彬彬：嗯，我们在古城里漫步，还在古城墙上骑了自行车。
6,Amy: That sounds great fun!,艾米：听起来真是太有趣了！
6,💬 Where did Binbin go?,💬 彬彬去哪里了？
6,💬 What made his trip special?,💬 是什么让他的旅行变得特别？
6,🔴 List and talk,🔴 列一列，说一说
6,💬 Who had a special trip?,💬 谁的旅行很特别？
6,Where did you go over the Labour Day holiday?,劳动节假期你去哪里了？
6,Tianjin. I ate the famous Goubuli baozi. They were good! I also watched a xiangsheng show. It was very funny.,天津。我吃了著名的狗不理包子，味道很好！我还看了一场相声表演，非常有趣。
6,I went to Dunhuang. I saw many beautiful wall paintings ...,我去了敦煌，看到了许多美丽的壁画……
6,,📝 表格填写：
6,Place,地点
6,Activities,活动
6,Feelings,感受
6,💬 We think the trip to ... was special because ...,💬 我们认为去……的旅行很特别，因为……
6,,✅ 参考答案示例
6,T or F:,
6,F,
6,F,
6,Where did Binbin go? Binbin went to Xi'an with his family.,彬彬和家人去了西安。
6,"What made his trip special? He ate famous Xi'an noodles, visited the Terracotta Warriors, walked around the old city and rode bikes on the old city wall.",他吃了著名的西安面条，参观了兵马俑，在古城里漫步，还在古城墙上骑了自行车，这些都让他的旅行变得特别。
6,List and talk,示例：
6,Place,地点
6,Activities,活动
6,Feelings,感受
6,Tianjin,天津
6,"Ate Goubuli baozi, watched xiangsheng",吃狗不理包子，看相声
6,Happy and excited,开心又兴奋
6,Dunhuang,敦煌
6,Saw beautiful wall paintings,看到了美丽的壁画
6,Amazed,惊叹
6,We think the trip to Tianjin was special because we ate the famous Goubuli baozi and watched a funny xiangsheng show.,我们认为去天津的旅行很特别，因为我们吃了著名的狗不理包子，还观看了有趣的相声表演。
7,Unit4-6,概述目录
8,Unit 4-6 Part C,以及语法概述
9,🔴 Read and answer.,🔴 读一读，回答问题。
9,What did you learn about the Jinggang Mountains?,你了解到了井冈山的哪些信息？
9,"What does the word ""must-see"" mean in the first review?","第一篇评价中""must-see""这个词是什么意思？"
9,Do you want to go to the Jinggang Mountains after reading the reviews? Why?,读完这些评价后，你想去井冈山吗？为什么？
9,🔴 Read again. Then choose one review and fill in the chart.,🔴 再次阅读，然后选择一篇评价并填写表格。
9,,📋 表格结构：
9,Title of review（,评价标题）
9,(Use strong words!,使用有力的词语！)
9,Review,评价
9,Opening sentence,开头句：_______________
9,Sun Lin's or Colin's experience: （What did they do/see/eat/learn? How did they feel?）,孙林或科林的经历： （他们做了/看到了/吃了/学到了什么？他们有什么感受？）
9,Closing sentence,结尾句：_______________
9,🔴 Where did you go? What did you do there? Write your own travel review about a place you went to.,🔴 你去了哪里？你在那里做了什么？写一篇关于你去过的地方的旅行评价。
9,(title,标题) ⭐⭐⭐⭐⭐
9,My trip to __________ was __________!,我去__________的旅行真是__________！
9,You should visit there!,你一定要去那里！
9,,✅ 参考答案示例
9,Read and answer:,
9,"1. What did you learn about the Jinggang Mountains? The Jinggang Mountains are a UNESCO World Cultural Heritage Site. There is a Jinggangshan Revolution Museum with old books and photos about the Red Army. You can climb the mountains, see bamboo forests and waterfalls, and eat delicious pumpkin soup and red rice. It is only 1.5 hours from the airport by bus.",井冈山是联合国教科文组织世界文化遗产。那里有一座井冈山革命博物馆，陈列着关于红军的旧书籍和照片。你可以攀登山峰，欣赏竹林和瀑布，还能品尝美味的南瓜汤和红米饭。从机场乘车只需约1.5小时。
9,"2. What does the word ""must-see"" mean in the first review? ""Must-see"" means that the place is so special and interesting that everyone should visit it. It is a place you cannot miss.",
9,"""Must-see""",的意思是这个地方非常特别、有趣，每个人都应该去参观。这是一个不容错过的地方。
9,"3. Do you want to go to the Jinggang Mountains after reading the reviews? Why? Yes, I do. I want to go there because the views are wonderful and the food is delicious. I also want to learn more about the history of the Red Army.",是的，我想去。因为那里的风景很壮观，食物也很美味。我还想更多地了解红军的历史。
9,Fill in the chart（以Colin的评价为例）：,部分
9,,内容
9,Title,
9,Wonderful views and food,
9,Opening sentence,
9,This was a great place for a summer trip!,
9,Experience,
9,"Climbed the mountains, took photos of bamboo forest and waterfalls, tried pumpkin soup and red rice. Felt happy and excited.",
9,Closing sentence,
9,I want to go there again!,
9,Write your own travel review,示例：
9,A wonderful place! ⭐⭐⭐⭐⭐,
9,My trip to West Lake was amazing! I walked around the lake for hours and saw beautiful lotus flowers. I also ate famous West Lake fish in vinegar sauce at a nice restaurant. The view was wonderful. You should visit there!,一个美妙的地方！⭐⭐⭐⭐⭐
9,,我去西湖的旅行真是太棒了！我在湖边漫步了好几个小时，看到了美丽的荷花。我还在一家不错的餐厅品尝了著名的西湖醋鱼。那里的风景真的非常壮观。你一定要去那里！
10,C Project: Make a holiday scrapbook,C 项目：制作假期剪贴簿
10,① The children are making a holiday scrapbook. Listen and tick or cross. 🎧,① 孩子们正在制作假期剪贴簿。听录音，打勾或打叉。🎧
10,② Write captions for each place and talk about them.,② 为每个地方写说明文字并进行讨论。
10,,📍 三个地点：
10,,地点
10,,图片说明
10,Guangzhou,广州
10,I took a trip to Guangzhou and visited the Guangdong Science Centre.,我去广州旅行，参观了广东科学中心。
10,Shaoxing 绍兴,（待填写）
10,Mount Huangshan 黄山,（待填写）
10,,对话原文：
10,"John: Where did you go, Zhang Peng and Amy?",约翰：张鹏和艾米，你们去哪里了？
10,Zhang Peng: I took a trip to Guangzhou.,张鹏：我去广州旅行了。
10,John: What did you do?,约翰：你做了什么？
10,Zhang Peng: ...,张鹏：……
10,John: I went to Hangzhou and Shaoxing. I went to visit the former home of Lu Xun. He was a famous writer.,约翰：我去了杭州和绍兴，我去参观了鲁迅的故居。他是一位著名的作家。
10,"Zhang Peng: Yes, he was. He wrote a lot of great books.",张鹏：是的，他确实是。他写了很多伟大的著作。
10,,Amy: ... 艾米：……
10,,✅ 参考答案示例
10,Captions（,说明文字）：
10,Guangzhou,广州： I took a trip to Guangzhou and visited the Guangdong Science Centre. It was very interesting! 我去广州旅行，参观了广东科学中心，非常有趣！
10,Shaoxing,绍兴： I went to Shaoxing and visited the former home of Lu Xun. He was a famous writer and wrote many great books. 我去了绍兴，参观了鲁迅的故居。他是一位著名的作家，写了很多伟大的著作。
10,Mount Huangshan,黄山： I climbed Mount Huangshan and watched the beautiful sunrise. The view was amazing! 我爬了黄山，观看了美丽的日出，景色真是太壮观了！
10,Zhang Peng（,补充）： I visited the Guangdong Science Centre. I saw many interesting science exhibits. It was amazing! 我参观了广东科学中心，看到了很多有趣的科学展品，真是太棒了！
10,,Amy（ 补充）： I climbed Mount Huangshan. The view from the top was wonderful. I took many beautiful photos there. 我爬了黄山，山顶的景色非常壮观，我在那里拍了很多漂亮的照片。
11,③ Make your holiday scrapbook.,③ 制作你的假期剪贴簿。
11,,示例剪贴簿内容（杭州+绍兴之旅）：
11,Hangzhou,杭州
11,🗓️ Day 1 We went boating and took nice photos.,我们去划船，拍了很多漂亮的照片。
11,We walked to the West Lake.,我们步行去了西湖。
11,🗓️ Day 2 We went to a famous restaurant.,我们去了一家著名的餐厅。
11,"We drank Longjing tea, ate Dongpo pork and Jiao Hua Ji.",我们喝了龙井茶，吃了东坡肉和叫化鸡。
11,We climbed Baochu Hill and watched the sunrise.,我们爬了宝叔山，观看了日出。
11,We saw lots of fish in Fish Viewing at the Flower Pond.,我们在花港观鱼观赏了许多鱼。
11,Shaoxing,绍兴
11,🗓️ Day 3 We visited the former home of Lu Xun and the Herb Garden.,我们参观了鲁迅故居和百草园。
11,Lu Xun was a famous writer. He wrote a lot of great books.,鲁迅是一位著名的作家，他写了很多伟大的著作。
11,④ Share your scrapbook in class.,④ 在课堂上分享你的剪贴簿。
11,I had great fun with my family last summer holidays. We visited ...,上个暑假我和家人玩得非常开心，我们参观了……
11,Self-assessment,自我评价
11,I can list some amazing places and talk about them.,我能列举一些奇妙的地方并进行介绍。
11,I can describe what I did in a trip and say why it was special.,我能描述旅行中做的事情，并说明旅行的特别之处。
11,I can share my experience and feelings about a trip.,我能分享旅行的经历和感受。
11,I can identify the structure of a travel review and write my own review.,我能识别旅行评价的结构，并写出自己的旅行评价。
11,,✅ 参考答案示例
11,Share your scrapbook,示例：
11,"I had great fun with my family last summer holidays. We visited Hangzhou and Shaoxing. On Day 1, we went boating on the West Lake and took many nice photos. On Day 2, we climbed Baochu Hill and watched the sunrise. It was amazing! We also ate delicious Dongpo pork and drank Longjing tea. On Day 3, we went to Shaoxing and visited the former home of Lu Xun. We learnt a lot about his life and great books. It was such a wonderful trip!",上个暑假我和家人玩得非常开心。我们参观了杭州和绍兴。第一天，我们在西湖上划船，拍了很多漂亮的照片。第二天，我们爬了宝叔山，观看了日出，真是太壮观了！我们还吃了美味的东坡肉，喝了龙井茶。第三天，我们去了绍兴，参观了鲁迅故居，了解了他的生平和伟大著作。这真是一次美好的旅行！
12,Reading time,阅读时间
12,🏛️ Landmarks you shouldn't miss!,🏛️ 不可错过的地标！
12,🟠 Eye-opening findings in Sanxingdui,🟠 三星堆令人大开眼界的发现
12,"My last trip to Sanxingdui was great! In the Sanxingdui Museum, I saw strange masks, the ""big guy"" statue and a life-size ""fruit"" tree lamp.","我上次去三星堆的旅行真是太棒了！在三星堆博物馆里，我看到了奇异的面具、""大立人""雕像和一棵真实大小的""果树""灯。"
12,"Some believed people from Sanxingdui were aliens. But it's not true. They might eat hotpot three thousand years ago, just like we do today.",有些人认为三星堆的人是外星人，但这并不是真的。他们可能在三千年前就已经吃火锅了，就像我们今天一样。
12,"(Chen Li, history teacher)",（陈丽，历史老师）
12,🟠 The pearl of Hangzhou,🟠 杭州的明珠
12,"I visited the West Lake last autumn. On the first night, my friends and I watched the moon rising from a boat on the lake. We ate mooncakes and drank Longjing tea. The next day we walked along the lake. It was such a nice trip.",去年秋天，我参观了西湖。第一晚，我和朋友们坐在湖上的船里，欣赏月亮升起。我们吃了月饼，喝了龙井茶。第二天，我们沿着湖边散步。这真是一次美好的旅行。
12,"(Jessica, nurse)",（杰西卡，护士）
13,🟠 A magical island,🟠 神奇的岛屿
13,"On Easter Island, I saw huge statues called Moai. The Rapa Nui people made them thousands of years ago. I loved the food on the island. The locals cooked fresh food on rocks! We had fish. It was so delicious!","在复活节岛，我看到了巨大的雕像，叫做""摩艾""。拉帕努伊人在几千年前建造了它们。我非常喜欢岛上的食物。当地人在岩石上烹饪新鲜食物！我们吃了鱼，真是太美味了！"
13,"(Lucy, 10-year-old student)",（露西，10岁学生）
13,"🟠 An unusual ""table""","🟠 不寻常的""桌子"""
13,"I climbed many mountains on my trips, but Table Mountain in South Africa was a special one. Its name comes from its top. It is flat like a table! But I found it only looks flat from one side.",我在旅途中爬过很多山，但南非的桌山是一座特别的山。它的名字来源于它的山顶——像桌子一样平坦！但我发现它只从一面看起来是平的。
13,I went to the top by cable car. The first cable car opened in 1929. The view was so amazing!,我乘缆车到达山顶。第一条缆车于1929年开通，那里的景色真是太令人惊叹了！
13,"(William, mountain lover)",（威廉，登山爱好者）
13,Reading time,问题示例：
13,Q: What is special about each landmark?,地标
13,,特别之处
13,,三星堆 Sanxingdui
13,"Strange masks, big statues, life-size fruit tree lamp; 3,000 years old",奇异面具、大立人雕像、果树灯；有3000年历史
13,,西湖 West Lake
13,"Beautiful moonrise, famous Longjing tea, mooncakes",美丽的月升、著名的龙井茶、月饼
13,,复活节岛 Easter Island
13,"Huge Moai statues, fresh food cooked on rocks",巨大的摩艾雕像、在岩石上烹饪新鲜食物
13,,桌山 Table Mountain
13,"Flat top like a table, cable car since 1929, amazing view",像桌面一样的山顶、1929年开通的缆车、壮观的景色
74,Revision: Learning in museums,复习：在博物馆中学习
74,Read aloud and act it out.,朗读并表演。🎧
74,"Miss White: What do you want to learn about, children?",怀特老师：孩子们，你们想了解什么？
74,Binbin: I want to know about space and planets.,彬彬：我想了解太空和行星。
74,Chen Jie: My sister was ill for some time. It made me sad. I want to learn more about illness.,陈洁：我妹妹病了一段时间，这让我很难过。我想更多地了解疾病。
74,Mike: I want to know more about the Chinese festivals.,迈克：我想更多地了解中国节日。
74,Miss White: Those are great ideas! What can help you learn about these things?,怀特老师：这些都是很好的想法！什么可以帮助你们了解这些事情呢？
74,Chen Jie: We can read books or use the internet.,陈洁：我们可以读书或使用互联网。
74,Mike: I want to travel to different places.,迈克：我想去不同的地方旅行。
74,"Miss White: That's right. We can also learn in museums. This week, we're going to plan some museum trips.",怀特老师：说得对。我们也可以在博物馆里学习。这周，我们要计划一些博物馆之旅。
74,Students: Great!,学生们：太棒了！
74,Miss White: Which museums do you want to visit? How much money do you need? Think about these questions and make a plan.,怀特老师：你们想参观哪些博物馆？你们需要多少钱？思考这些问题并制定计划。
74,💬 What do you want to learn more about?,你想更多地了解什么？
74,Choose and discuss.,选一选，讨论。
74,Zhang Peng: Do you have a plan for your museum trip?,张鹏：你有博物馆旅行计划吗？
74,"Sarah: Yes, I'm going to visit some museums online. ______",莎拉：是的，我打算在线参观一些博物馆。______
74,Zhang Peng: That's a good idea!,张鹏：这是个好主意！
74,Sarah: ______,莎拉：______
74,Zhang Peng: I'm going to visit the Great Wall Museum.,张鹏：我打算去参观长城博物馆。
74,Sarah: Wow! But it's very far. ______,莎拉：哇！但那非常远。______
74,"Zhang Peng: I have 100 yuan. The museum is free. But I need to take a bus and I'm going to buy some food and drink. Before that, ______ I want to look good in my photos.",张鹏：我有100元。博物馆是免费的，但我需要坐公共汽车，还要买一些食物和饮料。在此之前，______我想在照片里看起来好看一些。
74,Sarah: Ha! Ha! I want to see your photos.,莎拉：哈！哈！我想看你的照片。
74,,选项：A. I'm saving up for a new bike now.
74,,我现在正在攒钱买新自行车。
74,B. I can watch videos and even buy nice gifts online.,我可以在线观看视频，甚至购买精美礼物。
74,C. How much are you going to take?,你打算带多少钱？
74,D. I need a haircut.,我需要理发。
74,"E. Where are you going, Zhang Peng?",张鹏，你要去哪里？
74,💬 How do you prefer to visit museums? Why?,你更喜欢如何参观博物馆？为什么？
75,Look and answer.,看图回答。
75,,图片展示了四个场景：太空科技展览、绿色能源展区、AI医生问诊界面（How do you feel? I have a bad cough. My head hurts too. Try an AI doctor!）以及机器人展览区。
75,"What do you see in the pictures? Is/Are there ...? Do you like the section on space, green energy, AI or robots? Why?",图片里你看到了什么？有……吗？你喜欢太空、绿色能源、人工智能还是机器人展区？为什么？
75,Think and role-play.,思考并角色扮演。
75,You are a school newspaper reporter. Ask Binbin and John some questions.,你是一名校报记者，向彬彬和约翰提问。
75,Reporter: What did you see in the museum?,记者：你们在博物馆里看到了什么？
75,Binbin: I saw a big spaceship. I also went into a mini space station. I ...,彬彬：我看到了一艘大宇宙飞船，还进入了一个迷你太空站。我……
75,Reporter: Did you see other interesting things there?,记者：你们在那里还看到了其他有趣的东西吗？
75,Binbin: Yes. A robot dressed in a Tang suit. She pasted fu on the door. Another robot ....,"彬彬：是的。一个穿着唐装的机器人，她在门上贴了""福""字。还有另一个机器人……"
75,Reporter: What did you like about the museum?,记者：你们最喜欢博物馆的哪个部分？
75,John: We watched a short play about Chang'e and Houyi. Then we saw an amazing robot. He gave us a speech.,约翰：我们观看了一出关于嫦娥和后羿的短剧，然后我们看到了一个令人惊叹的机器人，他给我们发表了演讲。
76,📖 Read and give an ending to the play. 📖,阅读并给这个剧本写一个结尾。
76,,"🎬① 🎬① 🧑‍🦳 旁白：那是中秋节。在月亮上，玉兔跑啊跳啊。然后她看到了天空中一艘巨大的飞船！ Narrator: It was the Mid-Autumn Festival. On the Moon, the Rabbit ran and jumped. Then he saw a big spaceship in the sky!"
76,,"🎬② 🎬② 🐰 后羿：你好，兔子！ Houyi: Hello, Rabbit! 🐇 玉兔：嗨，后羿！欢迎你！ Rabbit: Hi, Houyi! Welcome! 🐰 后羿：谢谢你。嫦娥怎么样了？ Houyi: Thank you. How is Chang'e? 🐇 玉兔：嫦娥总是很悲伤，但她现在会好起来的。看，她来了。能有家人相伴真是太好了！ Rabbit: Chang'e is always sad, but she will be happy now. Look, here she comes. It's so good to have family around again!"
76,,🎬③ 🎬③ 🌙 嫦娥：你是怎么来到月亮上的？ Chang'e: How did you get to the Moon? 🐰 后羿：一艘飞船把我带到了这里。我们在中国有很棒的飞船。 Houyi: A spaceship brought me here. We have great spaceships in China. 🌙 嫦娥：哇！ Chang'e: Wow!
76,,"🎬④ 🎬④ 🐰 后羿：嫦娥，你来这里已经很久了。你在月亮上做了什么？ Houyi: Chang'e, you came here so long ago. What did you do on the Moon? 🌙 嫦娥：玉兔和我读书、唱民歌。但我总是想念我们在一起的日子。你在地球上做了什么？ Chang'e: Rabbit and I read books and sang folk songs. But I always thought of our days together. What did you do on Earth?"
76,……,
76,🎧 Listen and fill in the blanks. Then retell your favourite part. 🤖 🎧,听录音，填写空白处。然后复述你最喜欢的部分。🤖
76,Good afternoon!,下午好！
76,"We live on ______ . We are far from our neighbours, like the ______ and the ______ . But with science and technology, we can find out more about them.",我们生活在______。我们离邻居很远，比如______和______。但是借助科学和技术，我们可以更多地了解它们。
76,"Smartphones and the internet bring us closer to each other. We can ______ our feelings with friends far away. Even in space, ______ can call their families.",智能手机和互联网让我们彼此更亲近。我们可以与远方的朋友______我们的感受。即使在太空中，______也可以与家人通话。
76,"Green energy like ______ , wind or water power is also part of our life. We use technologies to ______ energy use, ______ our waste and ______ resources.",像______这样的绿色能源、风能或水能也是我们生活的一部分。我们用技术来______能源消耗，______我们的废物，______资源。
76,Science and technology make our lives better.,科学和技术让我们的生活更美好。
76,Thank you!,谢谢！
77,📖 Read and take notes. 📖,阅读并做笔记。
77,🏫 Welcome! 🏫,欢迎！
77,Did you enjoy listening to the bird song? Did you feel the cool wind from the sea? Is your stress gone?,你喜欢听鸟鸣声吗？你感受到了来自大海的凉风吗？你的压力消除了吗？
77,"Stress is sometimes bad for us. Science can help, but we also need to help ourselves. What can we do? Well, we should take care of our body. We need to have a healthy diet and exercise too. Remember, get enough sleep and don't stay up late.",压力有时对我们有害。科学可以帮助我们，但我们也需要自助。我们能做什么呢？好吧，我们应该照顾好自己的身体。我们需要健康饮食，也需要锻炼。记住，要保证充足的睡眠，不要熬夜。
77,"We must also take care of our mind. Think about happy things. You can keep a diary, join some clubs, listen to music or read books. Spend time with your friends and family. Give them a big smile. Go out and have some fun!",我们还必须照顾好自己的心理。想想快乐的事情。你可以写日记、参加一些俱乐部、听音乐或读书。花时间陪伴你的朋友和家人。给他们一个大大的微笑。出去玩，开开心！
77,I hope this area can help you!,我希望这个区域能帮助到你！
77,📝 Tips for taking notes 📝,记笔记小贴士
77,⭐ Use marks for key words ⭐,用符号标记关键词 ※ 🔷 🔶 ※ 🔷 🔶 ❓ Ask questions ❓ 提问 📊 Draw graphs 📊 画图表
77,✉️ Write a letter to your future self. ✉️,给未来的自己写一封信。
77,"Dear future me,",亲爱的未来的我，
77,The year is ______. I am ______ years old.,现在是______年。我______岁了。
77,How are you? What are you doing?,你好吗？你在做什么？
77,"Love,",爱你的，
77,My favourite food/sport is … I often … with my friends. Sometimes I feel …,我最喜欢的食物/运动是……我经常和朋友们……有时我感到……
77,"For the next ten years, I really want to … I'm going to … I will be …",在接下来的十年里，我真的很想……我打算……我将会……
78,🎵 Appendix 1,附录一 🎵 歌　曲
78,🎵 Unit 1,第一单元 🎵 Travelling around 环游旅行
78,"I visited Beijing,","我去了北京， And I learnt about the place. 我了解了这个地方。 I went to Tian'anmen Square, 我去了天安门广场， And to the Great Wall the next day. 第二天去了长城。"
78,"I visited Beijing,","我去了北京， And I learnt about its history. 我了解了它的历史。 I took so many pictures, 我拍了很多照片， And ate new snacks on the street. 在街上吃了新的小吃。"
78,"I went to Xi'an next,","接着我去了西安， And I saw the old city wall. 我看到了古老的城墙。 I ate some really tasty noodles, 我吃了一些非常美味的面条， And sang a local song. 还唱了一首当地的歌。"
78,"On my trip to Xi'an,",在我的西安之旅中， I saw the famous sights. 我看到了著名的景点。 And climbed up Huashan Mountain. 还爬上了华山。 The views were very nice. 景色非常美丽。
78,🎵 Unit 2,第二单元 🎵 Getting together 相聚在一起
78,"My family and I, we have a great time.",我和我的家人度过了美好的时光。 We get together at special events. 我们在特殊的节日里相聚。
78,Events are fun. I love every one.,"活动很有趣。我喜欢每一个。 Yeah, yeah, yeah! Yeah, yeah, yeah! 耶，耶，耶！耶，耶，耶！"
78,"My parents and I, we had a sports day.","我和我的父母参加了运动会。 There were many fun activities to do. 有很多有趣的活动可以参加。 My brother clapped. 我的哥哥鼓掌喝彩。 Go, go, go! Go, go, go! 加油，加油，加油！加油，加油，加油！"
78,"My mother and I, we cleaned up at New Year.","我和我的妈妈在新年打扫卫生。 And pasted fu on our door. 还在我们的门上贴了""福""字。 We dressed in red. All were fed. 我们穿上红色衣服。大家都吃饱了。 Yum, yum, yum! Yum, yum, yum! 真好吃，真好吃，真好吃！"
78,"My brother and I, we sang some songs,","我和我的兄弟唱了一些歌， And spoke with all of our relatives. 和所有的亲戚交谈。 We counted down, such a big sound. 我们倒计时，声音好响亮。 3, 2, 1! Fun, fun, fun! 3，2，1！真开心，真开心，真开心！"
78,🎵 Unit 3,第三单元 🎵 How can we stay healthy? 我们怎样保持健康？
